男博士生忙且科研圈子小，该怎样找女朋友？
关键字：无
序号,作者昵称,回答链接,主页链接
94.,唯玫瑰之名,"https://www.zhihu.com/question/('409288130',)/answer/1389553365",https://www.zhihu.com/people/wei-mei-gui-zhi-ming
95.,酸菜鱼,"https://www.zhihu.com/question/('409288130',)/answer/1388452713",https://www.zhihu.com/people/yed-46
96.,蒜香旭,"https://www.zhihu.com/question/('409288130',)/answer/1387651630",https://www.zhihu.com/people/suan-xiang-xu
97.,玖声2005,"https://www.zhihu.com/question/('409288130',)/answer/1387641192",https://www.zhihu.com/people/jiu-sheng-2005-72
98.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1386378517", 
99.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1469473785", 
100.,有梦的小青年,"https://www.zhihu.com/question/('409288130',)/answer/1465162029",https://www.zhihu.com/people/you-meng-de-xiao-qing-nian
101.,xue,"https://www.zhihu.com/question/('409288130',)/answer/1463343384",https://www.zhihu.com/people/xue-45
102.,Promise,"https://www.zhihu.com/question/('409288130',)/answer/1462766437",https://www.zhihu.com/people/jjw-24-69
103.,cmonet,"https://www.zhihu.com/question/('409288130',)/answer/1455858499",https://www.zhihu.com/people/cmonet
104.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1455146055", 
105.,一切皆可抛,"https://www.zhihu.com/question/('409288130',)/answer/1454172879",https://www.zhihu.com/people/yi-qie-jie-ke-pao
106.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1452913310",https://www.zhihu.com/people/
107.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1451042818", 
108.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1450333086", 
109.,蚊子君,"https://www.zhihu.com/question/('409288130',)/answer/1449955832",https://www.zhihu.com/people/coaliter
110.,不当大哥好多年,"https://www.zhihu.com/question/('409288130',)/answer/1448679471",https://www.zhihu.com/people/4359da-da-ge
111.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1446153541", 
112.,科研与统计,"https://www.zhihu.com/question/('409288130',)/answer/1439413184",https://www.zhihu.com/people/zhui-meng-51-77
113.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1437831936", 
114.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1428340506",https://www.zhihu.com/people/
115.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1428318800", 
116.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1422533784", 
117.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1417696240", 
118.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1417551115", 
119.,Think 艾恩基,"https://www.zhihu.com/question/('409288130',)/answer/1417212574",https://www.zhihu.com/people/yin-fu-guo-92
120.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1417083176", 
121.,ICer,"https://www.zhihu.com/question/('409288130',)/answer/1416688954",https://www.zhihu.com/people/cmm1996918
122.,白龙马唱歌,"https://www.zhihu.com/question/('409288130',)/answer/1416099570",https://www.zhihu.com/people/surer-43
123.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1413538344", 
124.,亚琪家的大龙猫,"https://www.zhihu.com/question/('409288130',)/answer/1411632371",https://www.zhihu.com/people/ya-qi-jia-de-da-long-mao
125.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1411310606", 
126.,亓官晓月,"https://www.zhihu.com/question/('409288130',)/answer/1407953875",https://www.zhihu.com/people/qi-guan-xiao-yue
127.,清烟,"https://www.zhihu.com/question/('409288130',)/answer/1407784014",https://www.zhihu.com/people/qing-yan-71-16
128.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1407775865", 
129.,山山而川,"https://www.zhihu.com/question/('409288130',)/answer/1405694614",https://www.zhihu.com/people/shan-shan-er-chuan-63-61
130.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1404660442", 
131.,家德纳,"https://www.zhihu.com/question/('409288130',)/answer/1403445940",https://www.zhihu.com/people/brain-90-80
132.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1403399738", 
133.,啦啦啦我好想吃你啊,"https://www.zhihu.com/question/('409288130',)/answer/1403398882",https://www.zhihu.com/people/la-la-la-wo-hao-xiang-chi-ni-a
134.,香草柠檬吧,"https://www.zhihu.com/question/('409288130',)/answer/1402513283",https://www.zhihu.com/people/xiang-cao-ning-meng-ba
135.,kkkpower,"https://www.zhihu.com/question/('409288130',)/answer/1401681663",https://www.zhihu.com/people/kkkpower
136.,Dog SUN,"https://www.zhihu.com/question/('409288130',)/answer/1400914140",https://www.zhihu.com/people/dog-sun-28
137.,小雷,"https://www.zhihu.com/question/('409288130',)/answer/1398342984",https://www.zhihu.com/people/xiao-lei-54-30
138.,二哈那个哈,"https://www.zhihu.com/question/('409288130',)/answer/1394878408",https://www.zhihu.com/people/er-ha-na-ge-ha
139.,用户,"https://www.zhihu.com/question/('409288130',)/answer/1394466863",https://www.zhihu.com/people/yong-hu-86-11-72
140.,NimoomiN,"https://www.zhihu.com/question/('409288130',)/answer/1394162592",https://www.zhihu.com/people/nimoomin
141.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1392438811", 
142.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1392033633", 
143.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1391899437", 
144.,世纪动力,"https://www.zhihu.com/question/('409288130',)/answer/1388558301",https://www.zhihu.com/people/shi-ji-dong-li-59
145.,老炭,"https://www.zhihu.com/question/('409288130',)/answer/1387353953",https://www.zhihu.com/people/lao-tan-39-95
146.,朱雀高,"https://www.zhihu.com/question/('409288130',)/answer/1386949033",https://www.zhihu.com/people/fan-li-song
147.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1386854831", 
148.,贾曼,"https://www.zhihu.com/question/('409288130',)/answer/1385320097",https://www.zhihu.com/people/jia-man-42-71
149.,壳子,"https://www.zhihu.com/question/('409288130',)/answer/1383296541",https://www.zhihu.com/people/chi-chi-25-35-14
150.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1383131215", 
151.,一滴墨,"https://www.zhihu.com/question/('409288130',)/answer/1382924616",https://www.zhihu.com/people/emma-36-92-51
152.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1382782363", 
153.,是小铭啊,"https://www.zhihu.com/question/('409288130',)/answer/1382014101",https://www.zhihu.com/people/zhang-zhe-ming-87-64
154.,清风徐来,"https://www.zhihu.com/question/('409288130',)/answer/1381924375",https://www.zhihu.com/people/qing-feng-xu-lai-41-50-79
155.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1380498369", 
156.,天涯,"https://www.zhihu.com/question/('409288130',)/answer/1379344910",https://www.zhihu.com/people/zhang-yong-2-40
157.,雨落,"https://www.zhihu.com/question/('409288130',)/answer/1378620103",https://www.zhihu.com/people/yu-luo-88-91
158.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1378341861", 
159.,飞在天上的猪头肉,"https://www.zhihu.com/question/('409288130',)/answer/1377987390",https://www.zhihu.com/people/xio-xi-33
160.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1377890297", 
161.,仅供娱乐,"https://www.zhihu.com/question/('409288130',)/answer/1377880191",https://www.zhihu.com/people/caiph
162.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1377476271", 
163.,每个孤单天亮,"https://www.zhihu.com/question/('409288130',)/answer/1375120674",https://www.zhihu.com/people/wang-xiao-jin-89
164.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1374760503", 
165.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1374596571", 
166.,Lily,"https://www.zhihu.com/question/('409288130',)/answer/1373661545",https://www.zhihu.com/people/lily-79-31-45
167.,天下为菊,"https://www.zhihu.com/question/('409288130',)/answer/1372895775",https://www.zhihu.com/people/tian-xia-wei-ju
168.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1372498170",https://www.zhihu.com/people/
169.,坤坤困困,"https://www.zhihu.com/question/('409288130',)/answer/1372486267",https://www.zhihu.com/people/li-bing-kun-72
170.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1371370679", 
171.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1370998354", 
172.,愿望清单,"https://www.zhihu.com/question/('409288130',)/answer/1370512681",https://www.zhihu.com/people/ze-chris
173.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1370503405", 
174.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1370429914",https://www.zhihu.com/people/
175.,也不是很圆,"https://www.zhihu.com/question/('409288130',)/answer/1369856026",https://www.zhihu.com/people/ye-bu-shi-hen-yuan
176.,随风奔跑自由是方,"https://www.zhihu.com/question/('409288130',)/answer/1369755945",https://www.zhihu.com/people/gqy003774
177.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1369596668", 
178.,胖哒猫熊,"https://www.zhihu.com/question/('409288130',)/answer/1367754021",https://www.zhihu.com/people/mao-xiong-bebot
179.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1384732804", 
