你高三的精神支柱是什么？
关键字：无
序号,作者昵称,回答链接,主页链接
51.,一只可爱熊,"https://www.zhihu.com/question/('418547547',)/answer/1452683775",https://www.zhihu.com/people/lin-he-qing-16
52.,喵喵酱,"https://www.zhihu.com/question/('418547547',)/answer/1450332283",https://www.zhihu.com/people/miao-miao-jiang-97-16
53.,一只叮当瑞儿,"https://www.zhihu.com/question/('418547547',)/answer/1456028998",https://www.zhihu.com/people/suan-nai-gai-jiu-shi-yao-tian-de-86
54.,顾陌,"https://www.zhihu.com/question/('418547547',)/answer/1457359504",https://www.zhihu.com/people/ha-ha-ha-ha-95-3-52
55.,蓝色麽乜,"https://www.zhihu.com/question/('418547547',)/answer/1452531356",https://www.zhihu.com/people/lina-31-40-86
56.,搞个好名字好难哦,"https://www.zhihu.com/question/('418547547',)/answer/1465711204",https://www.zhihu.com/people/si-yue-xiao-ge-ge-60
57.,Hello World,"https://www.zhihu.com/question/('418547547',)/answer/1461430502",https://www.zhihu.com/people/pyh-20-97
58.,如果丶,"https://www.zhihu.com/question/('418547547',)/answer/1448579703",https://www.zhihu.com/people/ru-guo-zhu-84
59.,officeyutong,"https://www.zhihu.com/question/('418547547',)/answer/1455650096",https://www.zhihu.com/people/qwq-10-66
60.,H-llll,"https://www.zhihu.com/question/('418547547',)/answer/1450199207",https://www.zhihu.com/people/h-llll-47
61.,小梁同学来了,"https://www.zhihu.com/question/('418547547',)/answer/1459721596",https://www.zhihu.com/people/yitiao-xian-yu-83-8
62.,桂树,"https://www.zhihu.com/question/('418547547',)/answer/1450548923",https://www.zhihu.com/people/gui-shu-41-4
63.,Mr sky,"https://www.zhihu.com/question/('418547547',)/answer/1459947519",https://www.zhihu.com/people/dai-tian-cheng-95
64.,锦遇单身社群KK姐,"https://www.zhihu.com/question/('418547547',)/answer/1453761627",https://www.zhihu.com/people/wunder-20
65.,像风,"https://www.zhihu.com/question/('418547547',)/answer/1451192252",https://www.zhihu.com/people/xiang-feng-42-97
66.,A-小管也不知道,"https://www.zhihu.com/question/('418547547',)/answer/1468264633",https://www.zhihu.com/people/a-xiao-guan-ye-bu-zhi-dao
67.,还可以,"https://www.zhihu.com/question/('418547547',)/answer/1463287665",https://www.zhihu.com/people/huang-ml-49
68.,奶糖馅儿小笼包,"https://www.zhihu.com/question/('418547547',)/answer/1470762809",https://www.zhihu.com/people/nai-tang-xian-er-xiao-long-bao
69.,庄妆慢,"https://www.zhihu.com/question/('418547547',)/answer/1460511401",https://www.zhihu.com/people/zhuang-zhuang-2-97-57
70.,彼其之子美如玉,"https://www.zhihu.com/question/('418547547',)/answer/1468976694",https://www.zhihu.com/people/bi-qi-zhi-zi-1
71.,BelieverInYou,"https://www.zhihu.com/question/('418547547',)/answer/1455319240",https://www.zhihu.com/people/epong-57
72.,离开之后,"https://www.zhihu.com/question/('418547547',)/answer/1470555004",https://www.zhihu.com/people/chi-kai-zhi-hou-70
73.,郭先森,"https://www.zhihu.com/question/('418547547',)/answer/1463233079",https://www.zhihu.com/people/guo-xian-sen-94-60
74.,Diana,"https://www.zhihu.com/question/('418547547',)/answer/1455646274",https://www.zhihu.com/people/zhang-xi-wen-11-3
75.,一叶知秋,"https://www.zhihu.com/question/('418547547',)/answer/1453282224",https://www.zhihu.com/people/yixie-zhi-qiu-21-54
76.,一生俯首拜杨公,"https://www.zhihu.com/question/('418547547',)/answer/1469261341",https://www.zhihu.com/people/fa-jia-hai-han
77.,神原的未来,"https://www.zhihu.com/question/('418547547',)/answer/1465258155",https://www.zhihu.com/people/shen-yuan-de-wei-lai
78.,为所欲为,"https://www.zhihu.com/question/('418547547',)/answer/1472559949",https://www.zhihu.com/people/wei-suo-yu-wei-56-17
79.,Ayonex,"https://www.zhihu.com/question/('418547547',)/answer/1467038125",https://www.zhihu.com/people/ye-zi-chen-39
80.,一往无惧,"https://www.zhihu.com/question/('418547547',)/answer/1470018433",https://www.zhihu.com/people/yi-wang-wu-ju-40
